f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
m,g,q,w,l,a,&,m,g,q,d,l,a,#,n,g,i,z,o,k,w,a,m,g,q,d,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,g,q,w,l,a
m,s,h,g,l,a,&,m,b,h,g,l,a,#,m,b,h,g,l,a,$,COPY	m,s,h,g,l,a
m,s,h,g,l,a,&,m,o,h,g,l,a,#,n,g,i,m,o,h,g,l,a,$,V,SG,1,PRS	n,g,i,m,s,h,g,l,a
m,u,k,g,l,a,&,m,i,a,g,l,a,#,m,i,a,g,l,a,$,COPY	m,u,k,g,l,a
m,u,k,g,l,a,&,m,u,a,g,l,a,#,n,g,i,y,o,k,w,a,m,u,a,g,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,u,k,g,l,a
s,u,t,e,l,a,&,s,u,v,e,l,a,#,s,u,v,e,l,a,$,COPY	s,u,t,e,l,a
s,u,t,e,l,a,&,s,u,t,e,c,a,#,n,g,i,y,a,s,u,t,e,c,e,$,V,SG,1,PST+RCT	n,g,i,y,a,s,u,t,e,l,e
m,u,k,e,g,a,&,m,u,a,h,g,a,#,m,u,a,h,g,a,$,COPY	m,u,k,e,g,a
m,u,k,e,g,a,&,m,u,k,e,l,a,#,n,g,a,m,u,k,e,l,a,$,V,SG,1,PST+RMT	n,g,a,m,u,k,e,g,a
s,n,a,y,e,q,a,&,s,k,a,y,e,q,a,#,s,k,a,y,e,q,a,$,COPY	s,n,a,y,e,q,a
s,n,a,y,e,q,a,&,s,n,a,y,c,q,a,#,n,g,i,y,o,s,n,a,y,c,q,a,$,V,SG,1,FUT	n,g,i,y,o,s,n,a,y,e,q,a
s,s,a,y,e,l,a,&,s,w,a,y,e,l,a,#,s,w,a,y,e,l,a,$,COPY	s,s,a,y,e,l,a
s,s,a,y,e,l,a,&,s,s,a,y,b,l,a,#,n,g,i,s,s,a,y,b,l,a,$,V,SG,1,PRS	n,g,i,s,s,a,y,e,l,a
s,h,a,b,f,l,a,&,s,s,a,b,f,l,a,#,s,s,a,b,f,l,a,$,COPY	s,h,a,b,f,l,a
s,h,a,b,f,l,a,&,s,h,a,a,z,l,a,#,n,g,i,s,h,a,a,z,l,e,$,V,SG,1,PST+RCT	n,g,i,s,h,a,b,f,l,e
s,e,e,w,k,l,a,&,s,z,q,w,g,z,a,#,s,z,q,w,g,z,a,$,COPY	s,e,e,w,k,l,a
s,e,e,w,k,l,a,&,s,e,e,w,k,i,a,#,n,g,a,s,e,e,w,k,i,a,$,V,SG,1,PST+RMT	n,g,a,s,e,e,w,k,l,a
s,f,a,g,e,e,a,&,s,f,a,g,q,e,a,#,s,f,a,g,q,e,a,$,COPY	s,f,a,g,e,e,a
s,f,a,g,e,e,a,&,s,b,a,g,e,e,a,#,n,g,i,z,o,s,b,a,g,e,e,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,f,a,g,e,e,a
v,z,m,a,&,v,a,m,a,#,v,a,m,a,$,COPY	v,z,m,a
v,z,m,a,&,v,l,m,b,#,n,g,i,v,l,m,b,$,V,SG,1,PRS	n,g,i,v,z,m,a
n,a,k,a,&,f,a,k,a,#,n,g,i,f,a,k,e,$,V,SG,1,PST+RCT	n,g,i,n,a,k,e
w,y,k,a,&,l,f,l,a,#,l,f,l,a,$,COPY	w,y,k,a
w,y,k,a,&,w,m,k,a,#,n,g,i,y,o,w,m,k,a,$,V,SG,1,FUT	n,g,i,y,o,w,y,k,a
n,a,k,a,&,l,a,k,a,#,n,g,i,z,o,l,a,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,a,k,a
d,a,k,k,&,t,a,k,k,#,t,a,k,k,$,COPY	d,a,k,k
d,a,k,k,&,d,f,k,k,#,n,g,a,d,f,k,k,$,V,SG,1,PST+RMT	n,g,a,d,a,k,k
l,t,l,a,&,k,t,v,a,#,k,t,v,a,$,COPY	l,t,l,a
l,t,l,a,&,l,c,l,a,#,n,g,i,l,c,l,e,$,V,SG,1,PST+RCT	n,g,i,l,t,l,e
q,a,n,q,&,q,s,n,q,#,q,s,n,q,$,COPY	q,a,n,q
q,a,n,q,&,q,a,n,l,#,n,g,i,y,o,q,a,n,l,$,V,SG,1,FUT	n,g,i,y,o,q,a,n,q
q,q,l,a,&,b,q,l,a,#,b,q,l,a,$,COPY	q,q,l,a
q,q,l,a,&,q,q,i,d,#,n,g,i,q,q,i,d,$,V,SG,1,PRS	n,g,i,q,q,l,a
w,a,l,s,&,w,a,l,y,#,w,a,l,y,$,COPY	w,a,l,s
w,a,l,s,&,w,p,l,s,#,n,g,a,w,p,l,s,$,V,SG,1,PST+RMT	n,g,a,w,a,l,s
d,n,l,v,&,q,f,o,k,#,q,f,o,k,$,COPY	d,n,l,v
d,n,l,v,&,d,d,l,f,#,n,g,i,z,o,d,d,l,f,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,n,l,v
f,b,h,a,&,i,b,h,a,#,i,b,h,a,$,COPY	f,b,h,a
f,b,h,a,&,f,s,v,a,#,n,g,i,f,s,v,a,$,V,SG,1,PRS	n,g,i,f,b,h,a
f,q,k,i,&,k,h,k,p,#,k,h,k,p,$,COPY	f,q,k,i
f,q,k,i,&,f,q,u,s,#,n,g,i,z,o,f,q,u,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,q,k,i
f,g,v,a,&,f,g,v,q,#,f,g,v,q,$,COPY	f,g,v,a
f,g,v,a,&,f,o,v,a,#,n,g,i,f,o,v,e,$,V,SG,1,PST+RCT	n,g,i,f,g,v,e
f,a,y,a,&,i,a,y,a,#,i,a,y,a,$,COPY	f,a,y,a
f,a,y,a,&,f,a,g,a,#,n,g,a,f,a,g,a,$,V,SG,1,PST+RMT	n,g,a,f,a,y,a
f,a,k,a,&,f,a,k,q,#,n,g,i,y,o,f,a,k,q,$,V,SG,1,FUT	n,g,i,y,o,f,a,k,a
h,l,e,h,a,&,h,q,e,d,b,#,h,q,e,d,b,$,COPY	h,l,e,h,a
h,l,e,h,a,&,z,l,e,h,a,#,n,g,i,z,l,e,h,e,$,V,SG,1,PST+RCT	n,g,i,h,l,e,h,e
h,w,m,c,v,&,g,w,m,c,v,#,g,w,m,c,v,$,COPY	h,w,m,c,v
h,w,m,c,v,&,q,l,m,c,q,#,n,g,a,q,l,m,c,q,$,V,SG,1,PST+RMT	n,g,a,h,w,m,c,v
j,k,e,k,a,&,j,q,e,k,a,#,j,q,e,k,a,$,COPY	j,k,e,k,a
j,k,e,k,a,&,j,l,e,k,a,#,n,g,i,y,o,j,l,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,j,k,e,k,a
h,l,e,k,z,&,q,l,e,h,j,#,q,l,e,h,j,$,COPY	h,l,e,k,z
h,l,e,k,z,&,p,l,e,k,z,#,n,g,i,y,a,p,l,e,k,z,$,V,SG,1,PRS	n,g,i,y,a,h,l,e,k,z
h,l,e,k,v,&,h,l,b,j,v,#,h,l,b,j,v,$,COPY	h,l,e,k,v
h,l,e,k,v,&,j,u,e,k,j,#,n,g,i,z,o,j,u,e,k,j,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,e,k,v
q,e,d,f,&,q,e,e,f,#,n,g,a,q,e,e,f,$,V,SG,1,PST+RMT	n,g,a,q,e,d,f
z,v,s,a,&,z,h,s,a,#,z,h,s,a,$,COPY	z,v,s,a
z,v,s,a,&,f,v,s,a,#,n,g,i,z,o,f,v,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,z,v,s,a
q,e,p,a,&,t,e,t,l,#,t,e,t,l,$,COPY	q,e,p,a
q,e,p,a,&,k,e,p,a,#,n,g,i,y,o,k,e,p,a,$,V,SG,1,FUT	n,g,i,y,o,q,e,p,a
v,e,q,y,&,i,e,o,y,#,i,e,o,y,$,COPY	v,e,q,y
v,e,q,y,&,o,e,k,y,#,n,g,i,o,e,k,y,$,V,SG,1,PRS	n,g,i,v,e,q,y
q,e,g,a,&,f,e,g,a,#,f,e,g,a,$,COPY	q,e,g,a
q,e,g,a,&,q,e,t,a,#,n,g,i,q,e,t,e,$,V,SG,1,PST+RCT	n,g,i,q,e,g,e
p,f,i,d,a,&,p,f,y,d,a,#,p,f,y,d,a,$,COPY	p,f,i,d,a
p,f,i,d,a,&,p,f,w,d,a,#,n,g,a,p,f,w,d,a,$,V,SG,1,PST+RMT	n,g,a,p,f,i,d,a
y,h,y,g,a,&,y,h,u,g,a,#,y,h,u,g,a,$,COPY	y,h,y,g,a
y,h,y,g,a,&,y,k,u,g,a,#,n,g,i,y,k,u,g,e,$,V,SG,1,PST+RCT	n,g,i,y,h,y,g,e
p,h,i,l,a,&,o,h,y,l,z,#,n,g,i,z,o,o,h,y,l,z,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,l,a
p,y,i,l,k,&,p,y,n,l,k,#,p,y,n,l,k,$,COPY	p,y,i,l,k
p,y,i,l,k,&,p,u,i,l,k,#,n,g,i,y,o,p,u,i,l,k,$,V,SG,1,FUT	n,g,i,y,o,p,y,i,l,k
p,h,i,q,c,&,p,b,i,q,f,#,p,b,i,q,f,$,COPY	p,h,i,q,c
p,h,i,q,c,&,p,h,i,z,c,#,n,g,i,y,a,p,h,i,z,c,$,V,SG,1,PRS	n,g,i,y,a,p,h,i,q,c
l,u,s,s,&,l,u,s,f,#,l,u,s,f,$,COPY	l,u,s,s
l,u,s,s,&,l,u,o,s,#,n,g,i,z,o,l,u,o,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,u,s,s
l,a,u,s,&,p,a,k,s,#,p,a,k,s,$,COPY	l,a,u,s
l,a,u,s,&,l,n,u,s,#,n,g,i,y,o,l,n,u,s,$,V,SG,1,FUT	n,g,i,y,o,l,a,u,s
h,p,j,a,&,h,p,a,a,#,h,p,a,a,$,COPY	h,p,j,a
h,p,j,a,&,h,t,j,t,#,n,g,a,h,t,j,t,$,V,SG,1,PST+RMT	n,g,a,h,p,j,a
l,a,l,a,&,l,a,d,a,#,n,g,i,y,a,l,a,d,a,$,V,SG,1,PRS	n,g,i,y,a,l,a,l,a
d,a,l,a,&,d,a,h,a,#,d,a,h,a,$,COPY	d,a,l,a
d,a,l,a,&,w,a,o,a,#,n,g,i,w,a,o,e,$,V,SG,1,PST+RCT	n,g,i,d,a,l,e
z,t,j,m,m,a,&,z,t,j,v,h,a,#,z,t,j,v,h,a,$,COPY	z,t,j,m,m,a
z,t,j,m,m,a,&,z,t,l,u,m,a,#,n,g,i,z,t,l,u,m,e,$,V,SG,1,PST+RCT	n,g,i,z,t,j,m,m,e
g,i,j,b,s,a,&,g,i,u,b,s,a,#,g,i,u,b,s,a,$,COPY	g,i,j,b,s,a
g,i,j,b,s,a,&,g,e,j,b,b,a,#,n,g,i,y,a,g,e,j,b,b,a,$,V,SG,1,PRS	n,g,i,y,a,g,i,j,b,s,a
g,i,j,e,y,a,&,g,i,j,e,d,a,#,g,i,j,e,d,a,$,COPY	g,i,j,e,y,a
g,i,j,e,y,a,&,g,y,y,e,y,p,#,n,g,i,z,o,g,y,y,e,y,p,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,i,j,e,y,a
g,w,h,c,a,a,&,g,w,h,c,h,a,#,g,w,h,c,h,a,$,COPY	g,w,h,c,a,a
g,w,h,c,a,a,&,g,w,h,c,a,d,#,n,g,a,g,w,h,c,a,d,$,V,SG,1,PST+RMT	n,g,a,g,w,h,c,a,a
g,i,k,y,u,a,&,g,i,f,y,u,a,#,g,i,f,y,u,a,$,COPY	g,i,k,y,u,a
g,i,k,y,u,a,&,g,v,k,y,u,a,#,n,g,i,y,o,g,v,k,y,u,a,$,V,SG,1,FUT	n,g,i,y,o,g,i,k,y,u,a
e,h,o,f,e,&,e,h,o,f,s,#,e,h,o,f,s,$,COPY	e,h,o,f,e
e,h,o,f,e,&,z,h,o,f,e,#,n,g,i,z,o,z,h,o,f,e,$,V,SG,1,FUT+IMMED	n,g,i,z,o,e,h,o,f,e
b,h,a,l,a,&,b,w,a,l,a,#,n,g,i,b,w,a,l,e,$,V,SG,1,PST+RCT	n,g,i,b,h,a,l,e
f,q,a,l,n,&,f,q,i,l,j,#,f,q,i,l,j,$,COPY	f,q,a,l,n
f,q,a,l,n,&,f,l,a,l,n,#,n,g,i,f,l,a,l,n,$,V,SG,1,PRS	n,g,i,f,q,a,l,n
b,h,a,m,d,&,e,z,a,m,d,#,e,z,a,m,d,$,COPY	b,h,a,m,d
b,h,a,m,d,&,b,k,c,m,d,#,n,g,a,b,k,c,m,d,$,V,SG,1,PST+RMT	n,g,a,b,h,a,m,d
b,h,c,l,a,&,w,h,f,h,j,#,n,g,i,y,o,w,h,f,h,j,$,V,SG,1,FUT	n,g,i,y,o,b,h,c,l,a
d,l,f,&,d,f,f,#,d,f,f,$,COPY	d,l,f
d,l,f,&,h,l,o,#,n,g,i,y,o,k,u,h,l,o,$,V,SG,1,FUT	n,g,i,y,o,k,u,d,l,f
b,l,a,&,w,l,a,#,w,l,a,$,COPY	b,l,a
b,l,a,&,u,l,a,#,n,g,i,z,o,k,u,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,b,l,a
d,l,n,&,g,l,a,#,g,l,a,$,COPY	d,l,n
d,l,n,&,d,s,z,#,n,g,i,d,s,z,$,V,SG,1,PRS	n,g,i,d,l,n
d,m,a,&,h,m,h,#,h,m,h,$,COPY	d,m,a
d,m,a,&,d,c,a,#,n,g,a,d,c,a,$,V,SG,1,PST+RMT	n,g,a,d,m,a
p,v,e,f,k,f,u,k,a,&,p,v,e,b,a,f,u,k,a,#,p,v,e,b,a,f,u,k,a,$,COPY	p,v,e,f,k,f,u,k,a
p,v,e,f,k,f,u,k,a,&,p,v,e,p,k,f,t,j,a,#,n,g,i,z,o,p,v,e,p,k,f,t,j,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,v,e,f,k,f,u,k,a
p,h,h,h,g,k,u,o,a,&,p,h,h,l,g,k,p,o,a,#,p,h,h,l,g,k,p,o,a,$,COPY	p,h,h,h,g,k,u,o,a
p,h,h,h,g,k,u,o,a,&,p,h,h,h,b,k,u,o,a,#,n,g,i,y,a,p,h,h,h,b,k,u,o,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,h,h,g,k,u,o,a
p,o,e,v,u,m,k,l,a,&,p,f,e,v,u,m,k,p,a,#,p,f,e,v,u,m,k,p,a,$,COPY	p,o,e,v,u,m,k,l,a
p,o,e,v,u,m,k,l,a,&,p,o,t,v,u,m,k,l,a,#,n,g,i,p,o,t,v,u,m,k,l,e,$,V,SG,1,PST+RCT	n,g,i,p,o,e,v,u,m,k,l,e
p,y,v,f,u,m,u,i,a,&,p,c,v,f,u,m,u,i,a,#,p,c,v,f,u,m,u,i,a,$,COPY	p,y,v,f,u,m,u,i,a
p,y,v,f,u,m,u,i,a,&,p,k,v,f,u,m,u,i,a,#,n,g,a,p,k,v,f,u,m,u,i,a,$,V,SG,1,PST+RMT	n,g,a,p,y,v,f,u,m,u,i,a
p,h,h,c,t,m,k,i,a,&,p,h,h,c,t,s,k,q,a,#,p,h,h,c,t,s,k,q,a,$,COPY	p,h,h,c,t,m,k,i,a
p,h,h,c,t,m,k,i,a,&,p,w,h,a,t,n,k,i,a,#,n,g,i,y,o,p,w,h,a,t,n,k,i,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,h,c,t,m,k,i,a
j,h,j,o,j,&,e,h,a,s,p,#,e,h,a,s,p,$,COPY	j,h,j,o,j
j,h,j,o,j,&,w,h,j,o,j,#,n,g,a,w,h,j,o,j,$,V,SG,1,PST+RMT	n,g,a,j,h,j,o,j
a,g,u,i,a,&,a,c,u,i,a,#,a,c,u,i,a,$,COPY	a,g,u,i,a
a,g,u,i,a,&,a,j,u,l,d,#,n,g,i,a,j,u,l,d,$,V,SG,1,PRS	n,g,i,a,g,u,i,a
b,k,u,y,a,&,b,k,w,y,a,#,b,k,w,y,a,$,COPY	b,k,u,y,a
b,k,u,y,a,&,m,g,u,y,a,#,n,g,i,z,o,m,g,u,y,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,k,u,y,a
u,h,g,v,a,&,n,t,g,v,a,#,n,t,g,v,a,$,COPY	u,h,g,v,a
u,h,g,v,a,&,u,h,t,v,a,#,n,g,i,y,o,u,h,t,v,a,$,V,SG,1,FUT	n,g,i,y,o,u,h,g,v,a
p,h,u,z,a,&,p,d,j,g,a,#,n,g,i,p,d,j,g,e,$,V,SG,1,PST+RCT	n,g,i,p,h,u,z,e
n,t,i,n,t,a,&,n,t,i,a,t,a,#,n,t,i,a,t,a,$,COPY	n,t,i,n,t,a
n,t,i,n,t,a,&,n,c,b,n,q,a,#,n,g,i,n,c,b,n,q,e,$,V,SG,1,PST+RCT	n,g,i,n,t,i,n,t,e
t,h,i,e,c,a,&,t,h,i,o,c,a,#,t,h,i,o,c,a,$,COPY	t,h,i,e,c,a
t,h,i,e,c,a,&,t,h,g,e,c,a,#,n,g,i,z,o,t,h,g,e,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,i,e,c,a
t,q,u,n,c,a,&,t,d,u,b,c,a,#,t,d,u,b,c,a,$,COPY	t,q,u,n,c,a
t,q,u,n,c,a,&,t,v,u,n,c,a,#,n,g,i,y,o,t,v,u,n,c,a,$,V,SG,1,FUT	n,g,i,y,o,t,q,u,n,c,a
t,y,i,n,z,a,&,t,a,i,c,m,a,#,t,a,i,c,m,a,$,COPY	t,y,i,n,z,a
t,y,i,n,z,a,&,t,y,h,n,z,a,#,n,g,a,t,y,h,n,z,a,$,V,SG,1,PST+RMT	n,g,a,t,y,i,n,z,a
t,o,i,n,t,a,&,t,o,j,y,t,a,#,t,o,j,y,t,a,$,COPY	t,o,i,n,t,a
t,o,i,n,t,a,&,t,o,i,j,t,a,#,n,g,i,t,o,i,j,t,a,$,V,SG,1,PRS	n,g,i,t,o,i,n,t,a
l,a,d,l,q,i,t,p,w,a,&,l,g,n,l,q,i,t,b,w,a,#,l,g,n,l,q,i,t,b,w,a,$,COPY	l,a,d,l,q,i,t,p,w,a
l,a,d,l,q,i,t,p,w,a,&,l,a,d,l,q,i,e,p,w,a,#,n,g,i,l,a,d,l,q,i,e,p,w,e,$,V,SG,1,PST+RCT	n,g,i,l,a,d,l,q,i,t,p,w,e
l,z,h,s,e,y,e,f,s,a,&,l,z,w,s,s,y,v,f,s,a,#,l,z,w,s,s,y,v,f,s,a,$,COPY	l,z,h,s,e,y,e,f,s,a
l,z,h,s,e,y,e,f,s,a,&,l,z,h,s,e,y,g,f,w,a,#,n,g,i,l,z,h,s,e,y,g,f,w,a,$,V,SG,1,PRS	n,g,i,l,z,h,s,e,y,e,f,s,a
l,a,l,v,u,f,z,p,c,a,&,l,a,c,v,u,f,z,j,w,a,#,l,a,c,v,u,f,z,j,w,a,$,COPY	l,a,l,v,u,f,z,p,c,a
l,a,l,v,u,f,z,p,c,a,&,l,a,l,v,u,e,z,p,c,a,#,n,g,i,z,o,l,a,l,v,u,e,z,p,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,v,u,f,z,p,c,a
l,l,h,k,y,k,e,l,i,a,&,l,l,h,k,e,k,e,l,e,a,#,l,l,h,k,e,k,e,l,e,a,$,COPY	l,l,h,k,y,k,e,l,i,a
l,l,h,k,y,k,e,l,i,a,&,l,l,h,k,u,k,e,z,i,a,#,n,g,i,y,o,l,l,h,k,u,k,e,z,i,a,$,V,SG,1,FUT	n,g,i,y,o,l,l,h,k,y,k,e,l,i,a
l,f,y,v,e,k,e,l,y,a,&,l,f,y,v,e,k,k,d,n,a,#,l,f,y,v,e,k,k,d,n,a,$,COPY	l,f,y,v,e,k,e,l,y,a
l,f,y,v,e,k,e,l,y,a,&,l,l,y,n,f,k,e,l,y,a,#,n,g,a,l,l,y,n,f,k,e,l,y,a,$,V,SG,1,PST+RMT	n,g,a,l,f,y,v,e,k,e,l,y,a
l,w,v,&,l,w,a,#,n,g,i,l,w,a,$,V,SG,1,PRS	n,g,i,l,w,v
l,d,u,&,n,y,u,#,n,y,u,$,COPY	l,d,u
l,d,u,&,l,d,k,#,n,g,a,l,d,k,$,V,SG,1,PST+RMT	n,g,a,l,d,u
k,w,u,&,k,w,m,#,k,w,m,$,COPY	k,w,u
k,w,u,&,w,a,#,n,g,i,y,o,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,k,w,u
l,w,a,&,l,c,a,#,n,g,i,z,o,k,u,l,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,l,w,a
s,u,k,u,m,a,&,s,u,k,u,k,a,#,n,g,i,s,u,k,u,k,a,$,V,SG,1,PRS	n,g,i,s,u,k,u,m,a
s,u,k,u,s,a,&,s,u,z,u,e,a,#,s,u,z,u,e,a,$,COPY	s,u,k,u,s,a
s,u,k,u,s,a,&,s,u,k,m,s,a,#,n,g,a,s,u,k,m,s,a,$,V,SG,1,PST+RMT	n,g,a,s,u,k,u,s,a
n,t,k,a,k,a,&,n,t,k,f,a,a,#,n,t,k,f,a,a,$,COPY	n,t,k,a,k,a
n,t,k,a,k,a,&,n,b,k,a,k,a,#,n,g,i,n,b,k,a,k,e,$,V,SG,1,PST+RCT	n,g,i,n,t,k,a,k,e
s,u,g,c,n,a,&,s,h,g,c,n,a,#,s,h,g,c,n,a,$,COPY	s,u,g,c,n,a
s,u,g,c,n,a,&,s,u,e,k,n,a,#,n,g,i,z,o,s,u,e,k,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,u,g,c,n,a
s,u,k,u,e,a,&,s,u,k,u,p,a,#,s,u,k,u,p,a,$,COPY	s,u,k,u,e,a
s,u,k,u,e,a,&,s,u,i,u,e,a,#,n,g,i,y,o,s,u,i,u,e,a,$,V,SG,1,FUT	n,g,i,y,o,s,u,k,u,e,a
p,h,e,l,f,d,h,a,&,p,h,e,l,i,d,h,a,#,p,h,e,l,i,d,h,a,$,COPY	p,h,e,l,f,d,h,a
p,h,e,l,f,d,h,a,&,p,h,e,f,f,s,h,a,#,n,g,i,p,h,e,f,f,s,h,a,$,V,SG,1,PRS	n,g,i,p,h,e,l,f,d,h,a
p,h,e,b,d,s,l,a,&,p,h,e,y,a,c,l,a,#,p,h,e,y,a,c,l,a,$,COPY	p,h,e,b,d,s,l,a
p,h,e,b,d,s,l,a,&,p,h,e,b,d,c,l,a,#,n,g,i,p,h,e,b,d,c,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,e,b,d,s,l,e
p,p,q,i,d,u,u,a,&,p,j,q,z,d,u,u,a,#,p,j,q,z,d,u,u,a,$,COPY	p,p,q,i,d,u,u,a
p,p,q,i,d,u,u,a,&,p,a,q,b,d,u,u,a,#,n,g,i,y,o,p,a,q,b,d,u,u,a,$,V,SG,1,FUT	n,g,i,y,o,p,p,q,i,d,u,u,a
p,h,e,n,d,u,l,a,&,p,h,e,n,d,u,q,a,#,n,g,i,z,o,p,h,e,n,d,u,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,e,n,d,u,l,a
p,l,e,n,h,u,m,a,&,p,l,p,n,h,u,m,a,#,p,l,p,n,h,u,m,a,$,COPY	p,l,e,n,h,u,m,a
p,l,e,n,h,u,m,a,&,p,q,e,n,h,p,a,a,#,n,g,a,p,q,e,n,h,p,a,a,$,V,SG,1,PST+RMT	n,g,a,p,l,e,n,h,u,m,a
f,o,n,l,a,&,f,o,n,l,h,#,f,o,n,l,h,$,COPY	f,o,n,l,a
f,o,n,l,a,&,f,o,f,l,z,#,n,g,i,y,o,f,o,f,l,z,$,V,SG,1,FUT	n,g,i,y,o,f,o,n,l,a
b,o,e,d,a,&,b,o,e,k,i,#,b,o,e,k,i,$,COPY	b,o,e,d,a
b,o,e,d,a,&,b,o,v,d,a,#,n,g,i,b,o,v,d,e,$,V,SG,1,PST+RCT	n,g,i,b,o,e,d,e
q,a,n,z,z,&,q,p,n,z,z,#,q,p,n,z,z,$,COPY	q,a,n,z,z
q,a,n,z,z,&,q,i,g,z,z,#,n,g,i,y,a,q,i,g,z,z,$,V,SG,1,PRS	n,g,i,y,a,q,a,n,z,z
q,d,n,l,a,&,q,d,n,v,m,#,q,d,n,v,m,$,COPY	q,d,n,l,a
q,d,n,l,a,&,q,d,d,q,v,#,n,g,i,z,o,q,d,d,q,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,d,n,l,a
g,j,n,d,l,&,g,q,n,d,l,#,g,q,n,d,l,$,COPY	g,j,n,d,l
g,j,n,d,l,&,g,u,k,d,l,#,n,g,a,g,u,k,d,l,$,V,SG,1,PST+RMT	n,g,a,g,j,n,d,l
b,o,v,z,v,a,l,a,&,b,o,v,z,v,z,b,a,#,b,o,v,z,v,z,b,a,$,COPY	b,o,v,z,v,a,l,a
b,o,v,z,v,a,l,a,&,b,o,v,y,v,a,l,a,#,n,g,a,b,o,v,y,v,a,l,a,$,V,SG,1,PST+RMT	n,g,a,b,o,v,z,v,a,l,a
b,o,p,d,g,k,l,a,&,b,u,p,i,g,t,l,a,#,b,u,p,i,g,t,l,a,$,COPY	b,o,p,d,g,k,l,a
b,o,p,d,g,k,l,a,&,b,o,y,o,y,k,l,a,#,n,g,i,y,o,b,o,y,o,y,k,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,o,p,d,g,k,l,a
b,p,l,a,v,z,i,a,&,b,p,l,a,v,h,i,a,#,b,p,l,a,v,h,i,a,$,COPY	b,p,l,a,v,z,i,a
b,p,l,a,v,z,i,a,&,b,p,l,a,v,f,o,a,#,n,g,i,b,p,l,a,v,f,o,a,$,V,SG,1,PRS	n,g,i,b,p,l,a,v,z,i,a
b,g,n,a,h,a,z,a,&,b,z,n,a,h,a,z,a,#,b,z,n,a,h,a,z,a,$,COPY	b,g,n,a,h,a,z,a
b,g,n,a,h,a,z,a,&,b,b,n,a,h,a,z,a,#,n,g,i,z,o,b,b,n,a,h,a,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,g,n,a,h,a,z,a
b,i,n,v,k,a,l,a,&,b,i,n,h,q,a,v,a,#,b,i,n,h,q,a,v,a,$,COPY	b,i,n,v,k,a,l,a
b,i,n,v,k,a,l,a,&,b,d,a,v,k,a,l,a,#,n,g,i,b,d,a,v,k,a,l,e,$,V,SG,1,PST+RCT	n,g,i,b,i,n,v,k,a,l,e
c,h,j,l,i,s,a,&,c,u,j,l,i,s,a,#,c,u,j,l,i,s,a,$,COPY	c,h,j,l,i,s,a
c,h,j,l,i,s,a,&,c,m,n,l,i,s,a,#,n,g,i,c,m,n,l,i,s,e,$,V,SG,1,PST+RCT	n,g,i,c,h,j,l,i,s,e
c,h,f,s,i,h,a,&,c,h,f,i,i,h,a,#,c,h,f,i,i,h,a,$,COPY	c,h,f,s,i,h,a
c,h,f,s,i,h,a,&,c,h,f,s,y,h,a,#,n,g,i,c,h,f,s,y,h,a,$,V,SG,1,PRS	n,g,i,c,h,f,s,i,h,a
c,v,a,o,i,s,a,&,c,v,a,f,m,s,a,#,c,v,a,f,m,s,a,$,COPY	c,v,a,o,i,s,a
c,v,a,o,i,s,a,&,c,v,i,o,i,s,a,#,n,g,a,c,v,i,o,i,s,a,$,V,SG,1,PST+RMT	n,g,a,c,v,a,o,i,s,a
c,h,a,f,i,s,a,&,c,h,w,f,i,s,a,#,n,g,i,z,o,c,h,w,f,i,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,h,a,f,i,s,a
c,h,o,s,i,w,a,&,c,h,o,v,i,w,a,#,c,h,o,v,i,w,a,$,COPY	c,h,o,s,i,w,a
