s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
p,a,f,b,r,a,&,p,a,m,b,c,a,#,a,c,h,a,p,a,m,b,c,a,$,V,SG,3,FUT	a,c,h,a,p,a,f,b,r,a
p,a,f,g,a,a,&,p,z,f,g,a,a,#,p,z,f,g,a,a,$,COPY	p,a,f,g,a,a
p,a,f,g,a,a,&,p,c,f,b,a,a,#,m,u,r,i,k,u,p,c,f,b,a,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,a,f,g,a,a
p,a,r,p,r,a,&,p,a,r,p,b,a,#,p,a,r,p,b,a,$,COPY	p,a,r,p,r,a
p,a,r,p,r,a,&,p,d,f,p,r,a,#,a,k,a,p,d,f,p,r,a,$,V,SG,3,PST	a,k,a,p,a,r,p,r,a
p,y,r,u,r,a,&,p,f,r,u,r,a,#,p,f,r,u,r,a,$,COPY	p,y,r,u,r,a
p,y,r,u,r,a,&,p,y,r,n,r,a,#,n,d,i,n,o,p,y,r,n,r,a,$,V,SG,1,PRS	n,d,i,n,o,p,y,r,u,r,a
p,a,r,u,r,a,&,p,a,o,u,r,a,#,m,u,c,h,a,p,a,o,u,r,a,$,V,PL,2,FUT	m,u,c,h,a,p,a,r,u,r,a
p,a,r,u,m,a,&,p,a,h,u,m,a,#,p,a,h,u,m,a,$,COPY	p,a,r,u,m,a
p,a,r,u,m,a,&,p,a,w,a,m,a,#,a,r,i,k,u,p,a,w,a,m,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,a,r,u,m,a
p,a,n,c,r,a,&,p,v,g,o,r,a,#,p,v,g,o,r,a,$,COPY	p,a,n,c,r,a
p,a,n,c,r,a,&,p,v,n,d,r,a,#,n,d,i,r,i,k,u,p,v,n,d,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,a,n,c,r,a
p,a,p,a,e,a,&,p,k,p,a,e,a,#,p,k,p,a,e,a,$,COPY	p,a,p,a,e,a
p,a,p,a,e,a,&,p,a,p,a,g,a,#,t,i,n,o,p,a,p,a,g,a,$,V,PL,1,PRS	t,i,n,o,p,a,p,a,e,a
p,k,s,d,r,a,&,p,k,b,d,r,a,#,p,k,b,d,r,a,$,COPY	p,k,s,d,r,a
p,k,s,d,r,a,&,p,s,f,d,r,a,#,v,a,k,a,p,s,f,d,r,a,$,V,PL,3,PST	v,a,k,a,p,k,s,d,r,a
m,i,g,i,r,a,&,m,i,o,i,r,a,#,m,i,o,i,r,a,$,COPY	m,i,g,i,r,a
m,i,g,i,r,a,&,m,i,g,b,r,a,#,t,i,c,h,a,m,i,g,b,r,a,$,V,PL,1,FUT	t,i,c,h,a,m,i,g,i,r,a
m,i,r,i,r,a,&,m,i,r,k,r,a,#,n,d,i,n,o,m,i,r,k,r,a,$,V,SG,1,PRS	n,d,i,n,o,m,i,r,i,r,a
m,i,u,i,p,a,&,m,z,u,a,p,a,#,m,z,u,a,p,a,$,COPY	m,i,u,i,p,a
m,i,u,i,p,a,&,m,t,u,i,p,a,#,a,k,a,m,t,u,i,p,a,$,V,SG,3,PST	a,k,a,m,i,u,i,p,a
m,y,g,v,r,a,&,m,c,g,s,z,a,#,m,c,g,s,z,a,$,COPY	m,y,g,v,r,a
m,y,g,v,r,a,&,m,y,g,b,r,a,#,m,u,n,o,m,y,g,b,r,a,$,V,PL,2,PRS	m,u,n,o,m,y,g,v,r,a
m,i,r,y,u,a,&,m,i,r,w,u,a,#,m,i,r,w,u,a,$,COPY	m,i,r,y,u,a
m,i,r,y,u,a,&,m,r,r,y,u,a,#,a,c,h,a,m,r,r,y,u,a,$,V,SG,3,FUT	a,c,h,a,m,i,r,y,u,a
m,w,r,s,r,a,&,m,w,h,s,r,a,#,m,w,h,s,r,a,$,COPY	m,w,r,s,r,a
m,w,r,s,r,a,&,m,w,r,s,k,a,#,t,a,m,w,r,s,k,a,$,V,PL,1,HOD	t,a,m,w,r,s,r,a
m,i,r,i,w,a,&,m,u,r,i,u,a,#,m,u,r,i,u,a,$,COPY	m,i,r,i,w,a
m,i,r,i,w,a,&,m,i,c,i,w,a,#,u,c,h,a,m,i,c,i,w,a,$,V,SG,2,FUT	u,c,h,a,m,i,r,i,w,a
m,i,r,m,b,a,&,m,i,a,m,b,a,#,m,i,a,m,b,a,$,COPY	m,i,r,m,b,a
m,i,r,m,b,a,&,m,r,f,m,b,a,#,u,r,i,k,u,m,r,f,m,b,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,m,i,r,m,b,a
m,i,f,i,r,a,&,m,i,f,o,r,a,#,m,i,f,o,r,a,$,COPY	m,i,f,i,r,a
m,i,f,i,r,a,&,m,i,f,y,r,a,#,t,i,r,i,k,u,m,i,f,y,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,m,i,f,i,r,a
m,i,u,t,r,a,&,m,i,o,t,r,a,#,m,i,o,t,r,a,$,COPY	m,i,u,t,r,a
m,i,u,t,r,a,&,m,i,u,t,w,a,#,v,a,n,o,m,i,u,t,w,a,$,V,PL,3,PRS	v,a,n,o,m,i,u,t,r,a
m,i,c,i,h,a,&,m,i,c,i,c,a,#,m,i,c,i,c,a,$,COPY	m,i,c,i,h,a
m,i,c,i,h,a,&,m,i,c,m,v,a,#,m,u,r,i,k,u,m,i,c,m,v,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,m,i,c,i,h,a
m,i,v,e,u,b,&,m,i,t,e,b,b,#,m,i,t,e,b,b,$,COPY	m,i,v,e,u,b
m,i,v,e,u,b,&,m,z,v,e,u,b,#,m,u,c,h,a,m,z,v,e,u,b,$,V,PL,2,FUT	m,u,c,h,a,m,i,v,e,u,b
m,w,r,e,r,a,&,m,w,r,c,r,a,#,m,w,r,c,r,a,$,COPY	m,w,r,e,r,a
m,w,r,e,r,a,&,m,f,r,e,r,a,#,n,d,a,k,a,m,f,r,e,r,a,$,V,SG,1,PST	n,d,a,k,a,m,w,r,e,r,a
m,c,v,r,r,a,&,m,g,v,r,r,a,#,m,g,v,r,r,a,$,COPY	m,c,v,r,r,a
m,c,v,r,r,a,&,m,c,v,t,r,a,#,w,a,m,c,v,t,r,a,$,V,SG,2,HOD	w,a,m,c,v,r,r,a
m,c,r,u,h,a,&,m,c,r,u,k,a,#,m,c,r,u,k,a,$,COPY	m,c,r,u,h,a
m,c,r,u,h,a,&,m,c,r,u,y,a,#,v,a,k,a,m,c,r,u,y,a,$,V,PL,3,PST	v,a,k,a,m,c,r,u,h,a
m,a,r,i,r,a,&,m,a,r,y,r,a,#,m,a,r,y,r,a,$,COPY	m,a,r,i,r,a
m,a,r,i,r,a,&,m,a,r,g,r,a,#,v,a,c,h,a,m,a,r,g,r,a,$,V,PL,3,FUT	v,a,c,h,a,m,a,r,i,r,a
m,i,r,s,u,a,&,m,a,d,s,f,a,#,m,a,d,s,f,a,$,COPY	m,i,r,s,u,a
m,i,r,s,u,a,&,m,w,a,s,u,a,#,n,d,a,m,w,a,s,u,a,$,V,SG,1,HOD	n,d,a,m,i,r,s,u,a
m,y,y,s,r,a,&,m,r,y,w,r,a,#,m,r,y,w,r,a,$,COPY	m,y,y,s,r,a
m,y,y,s,r,a,&,m,y,y,k,h,a,#,n,d,i,r,i,k,u,m,y,y,k,h,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,m,y,y,s,r,a
m,i,r,i,r,a,&,m,i,r,i,t,a,#,a,r,i,k,u,m,i,r,i,t,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,m,i,r,i,r,a
m,i,e,i,f,a,&,m,c,e,i,f,a,#,m,c,e,i,f,a,$,COPY	m,i,e,i,f,a
m,i,e,i,f,a,&,m,i,c,i,f,a,#,t,i,n,o,m,i,c,i,f,a,$,V,PL,1,PRS	t,i,n,o,m,i,e,i,f,a
m,i,g,m,r,a,&,m,i,m,g,r,a,#,m,i,m,g,r,a,$,COPY	m,i,g,m,r,a
m,i,g,m,r,a,&,m,i,g,h,r,a,#,n,d,i,c,h,a,m,i,g,h,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,m,i,g,m,r,a
m,i,r,i,w,a,&,m,i,r,h,r,a,#,a,m,i,r,h,r,a,$,V,SG,3,HOD	a,m,i,r,i,w,a
m,k,n,i,r,a,&,m,k,o,c,r,a,#,m,k,o,c,r,a,$,COPY	m,k,n,i,r,a
m,k,n,i,r,a,&,m,k,n,b,n,a,#,u,n,o,m,k,n,b,n,a,$,V,SG,2,PRS	u,n,o,m,k,n,i,r,a
m,h,u,i,r,a,&,m,r,u,i,p,a,#,m,r,u,i,p,a,$,COPY	m,h,u,i,r,a
m,h,u,i,r,a,&,m,h,u,i,u,a,#,v,a,r,i,k,u,m,h,u,i,u,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,m,h,u,i,r,a
m,i,f,i,r,a,&,m,i,f,i,d,a,#,v,a,m,i,f,i,d,a,$,V,PL,3,HOD	v,a,m,i,f,i,r,a
m,c,r,i,r,a,&,m,c,y,i,r,a,#,m,c,y,i,r,a,$,COPY	m,c,r,i,r,a
m,c,r,i,r,a,&,m,h,r,i,r,a,#,m,a,m,h,r,i,r,a,$,V,PL,2,HOD	m,a,m,c,r,i,r,a
m,w,r,d,i,a,&,m,h,r,p,i,a,#,m,h,r,p,i,a,$,COPY	m,w,r,d,i,a
m,w,r,d,i,a,&,m,c,r,d,i,a,#,m,a,k,a,m,c,r,d,i,a,$,V,PL,2,PST	m,a,k,a,m,w,r,d,i,a
m,i,r,z,r,a,&,m,i,m,z,h,a,#,w,a,k,a,m,i,m,z,h,a,$,V,SG,2,PST	w,a,k,a,m,i,r,z,r,a
m,i,r,t,g,a,&,m,i,z,t,e,a,#,m,i,z,t,e,a,$,COPY	m,i,r,t,g,a
m,i,r,t,g,a,&,m,g,z,t,g,a,#,t,a,k,a,m,g,z,t,g,a,$,V,PL,1,PST	t,a,k,a,m,i,r,t,g,a
m,i,r,i,r,a,&,m,i,r,g,r,a,#,a,n,o,m,i,r,g,r,a,$,V,SG,3,PRS	a,n,o,m,i,r,i,r,a
s,e,e,a,&,s,e,e,w,#,n,d,a,s,e,e,w,$,V,SG,1,HOD	n,d,a,s,e,e,a
a,h,e,a,&,a,c,e,e,#,a,c,e,e,$,COPY	a,h,e,a
a,h,e,a,&,a,b,d,a,#,t,i,c,h,a,a,b,d,a,$,V,PL,1,FUT	t,i,c,h,a,a,h,e,a
t,i,v,t,&,p,i,v,t,#,p,i,v,t,$,COPY	t,i,v,t
t,i,v,t,&,t,y,v,t,#,v,a,c,h,a,t,y,v,t,$,V,PL,3,FUT	v,a,c,h,a,t,i,v,t
w,r,k,k,&,w,n,k,k,#,w,n,k,k,$,COPY	w,r,k,k
w,r,k,k,&,w,p,k,k,#,w,a,k,a,w,p,k,k,$,V,SG,2,PST	w,a,k,a,w,r,k,k
k,h,u,s,&,k,e,u,s,#,k,e,u,s,$,COPY	k,h,u,s
k,h,u,s,&,u,h,u,s,#,n,d,i,n,o,u,h,u,s,$,V,SG,1,PRS	n,d,i,n,o,k,h,u,s
y,a,k,s,&,w,a,k,s,#,w,a,k,s,$,COPY	y,a,k,s
y,a,k,s,&,a,z,k,s,#,n,d,i,r,i,k,u,a,z,k,s,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,y,a,k,s
a,o,k,y,&,w,o,k,k,#,w,o,k,k,$,COPY	a,o,k,y
a,o,k,y,&,a,i,k,y,#,a,r,i,k,u,a,i,k,y,$,V,PROG,SG,3,PRS	a,r,i,k,u,a,o,k,y
s,e,i,y,&,s,w,i,y,#,s,w,i,y,$,COPY	s,e,i,y
s,e,i,y,&,s,o,k,t,#,t,i,n,o,s,o,k,t,$,V,PL,1,PRS	t,i,n,o,s,e,i,y
s,e,k,a,&,s,r,k,a,#,v,a,n,o,s,r,k,a,$,V,PL,3,PRS	v,a,n,o,s,e,k,a
s,e,k,v,&,s,e,d,v,#,s,e,d,v,$,COPY	s,e,k,v
s,e,k,v,&,s,e,k,g,#,u,c,h,a,s,e,k,g,$,V,SG,2,FUT	u,c,h,a,s,e,k,v
s,k,k,u,&,s,c,k,u,#,s,c,k,u,$,COPY	s,k,k,u
s,k,k,u,&,u,k,w,u,#,v,a,k,a,u,k,w,u,$,V,PL,3,PST	v,a,k,a,s,k,k,u
s,v,k,r,&,s,y,k,r,#,s,y,k,r,$,COPY	s,v,k,r
s,v,k,r,&,s,h,f,r,#,m,u,n,o,s,h,f,r,$,V,PL,2,PRS	m,u,n,o,s,v,k,r
c,e,k,a,&,c,r,v,t,#,v,a,r,i,k,u,c,r,v,t,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,c,e,k,a
e,e,k,a,&,e,e,f,a,#,e,e,f,a,$,COPY	e,e,k,a
e,e,k,a,&,e,d,k,a,#,m,u,c,h,a,e,d,k,a,$,V,PL,2,FUT	m,u,c,h,a,e,e,k,a
s,e,e,a,&,s,u,e,a,#,w,a,s,u,e,a,$,V,SG,2,HOD	w,a,s,e,e,a
s,e,k,n,&,s,u,y,s,#,s,u,y,s,$,COPY	s,e,k,n
s,e,k,n,&,s,a,k,n,#,t,i,r,i,k,u,s,a,k,n,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,e,k,n
s,f,k,a,&,s,r,k,w,#,n,d,i,c,h,a,s,r,k,w,$,V,SG,1,FUT	n,d,i,c,h,a,s,f,k,a
i,e,u,a,&,i,e,k,a,#,i,e,k,a,$,COPY	i,e,u,a
i,e,u,a,&,i,e,k,a,#,a,n,o,i,e,k,a,$,V,SG,3,PRS	a,n,o,i,e,u,a
s,e,f,a,&,s,e,f,y,#,s,e,f,y,$,COPY	s,e,f,a
s,e,f,a,&,s,e,a,a,#,a,c,h,a,s,e,a,a,$,V,SG,3,FUT	a,c,h,a,s,e,f,a
s,b,k,a,&,n,b,k,e,#,n,b,k,e,$,COPY	s,b,k,a
s,b,k,a,&,s,k,k,a,#,m,a,s,k,k,a,$,V,PL,2,HOD	m,a,s,b,k,a
s,i,t,h,&,s,i,y,h,#,s,i,y,h,$,COPY	s,i,t,h
s,i,t,h,&,s,i,o,h,#,t,a,k,a,s,i,o,h,$,V,PL,1,PST	t,a,k,a,s,i,t,h
s,e,c,a,&,r,e,g,a,#,a,r,e,g,a,$,V,SG,3,HOD	a,s,e,c,a
b,e,w,t,&,b,e,m,t,#,b,e,m,t,$,COPY	b,e,w,t
b,e,w,t,&,u,e,r,t,#,n,d,a,k,a,u,e,r,t,$,V,SG,1,PST	n,d,a,k,a,b,e,w,t
m,e,d,a,&,h,e,d,a,#,h,e,d,a,$,COPY	m,e,d,a
m,e,d,a,&,m,e,d,i,#,u,r,i,k,u,m,e,d,i,$,V,PROG,SG,2,PRS	u,r,i,k,u,m,e,d,a
c,e,k,a,&,c,i,y,a,#,u,n,o,c,i,y,a,$,V,SG,2,PRS	u,n,o,c,e,k,a
s,e,k,a,&,s,e,k,b,#,a,k,a,s,e,k,b,$,V,SG,3,PST	a,k,a,s,e,k,a
s,n,k,a,&,s,n,k,y,#,s,n,k,y,$,COPY	s,n,k,a
s,n,k,a,&,s,n,k,b,#,m,a,k,a,s,n,k,b,$,V,PL,2,PST	m,a,k,a,s,n,k,a
w,e,k,a,&,w,f,k,a,#,w,f,k,a,$,COPY	w,e,k,a
w,e,k,a,&,w,e,w,a,#,m,u,r,i,k,u,w,e,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,w,e,k,a
r,r,b,a,&,m,b,b,a,#,m,b,b,a,$,COPY	r,r,b,a
r,r,b,a,&,r,z,b,g,#,v,a,r,z,b,g,$,V,PL,3,HOD	v,a,r,r,b,a
s,h,k,a,&,s,z,k,m,#,s,z,k,m,$,COPY	s,h,k,a
s,h,k,a,&,s,h,p,a,#,t,a,s,h,p,a,$,V,PL,1,HOD	t,a,s,h,k,a
d,o,n,h,a,&,d,o,t,h,a,#,v,a,k,a,d,o,t,h,a,$,V,PL,3,PST	v,a,k,a,d,o,n,h,a
f,v,n,d,n,&,f,d,k,d,p,#,f,d,k,d,p,$,COPY	f,v,n,d,n
f,v,n,d,n,&,f,i,y,d,a,#,v,a,n,o,f,i,y,d,a,$,V,PL,3,PRS	v,a,n,o,f,v,n,d,n
d,b,n,h,a,&,d,r,e,h,g,#,d,r,e,h,g,$,COPY	d,b,n,h,a
d,b,n,h,a,&,d,b,n,c,a,#,m,u,c,h,a,d,b,n,c,a,$,V,PL,2,FUT	m,u,c,h,a,d,b,n,h,a
d,o,s,h,c,&,d,r,s,h,e,#,d,r,s,h,e,$,COPY	d,o,s,h,c
d,o,s,h,c,&,h,o,s,h,c,#,a,n,o,h,o,s,h,c,$,V,SG,3,PRS	a,n,o,d,o,s,h,c
d,o,a,y,a,&,d,o,e,y,b,#,d,o,e,y,b,$,COPY	d,o,a,y,a
d,o,a,y,a,&,d,o,a,r,t,#,t,a,k,a,d,o,a,r,t,$,V,PL,1,PST	t,a,k,a,d,o,a,y,a
d,o,n,a,k,&,d,o,n,k,k,#,d,o,n,k,k,$,COPY	d,o,n,a,k
d,o,n,a,k,&,d,o,b,a,f,#,n,d,a,d,o,b,a,f,$,V,SG,1,HOD	n,d,a,d,o,n,a,k
z,u,n,h,a,&,z,p,n,h,z,#,z,p,n,h,z,$,COPY	z,u,n,h,a
z,u,n,h,a,&,i,u,n,h,a,#,v,a,i,u,n,h,a,$,V,PL,3,HOD	v,a,z,u,n,h,a
w,o,n,h,a,&,w,z,n,h,a,#,w,z,n,h,a,$,COPY	w,o,n,h,a
w,o,n,h,a,&,w,o,n,h,o,#,n,d,i,n,o,w,o,n,h,o,$,V,SG,1,PRS	n,d,i,n,o,w,o,n,h,a
y,a,b,s,k,&,y,a,b,h,k,#,y,a,b,h,k,$,COPY	y,a,b,s,k
y,a,b,s,k,&,y,a,n,c,k,#,t,a,y,a,n,c,k,$,V,PL,1,HOD	t,a,y,a,b,s,k
d,e,n,h,a,&,z,e,n,h,a,#,z,e,n,h,a,$,COPY	d,e,n,h,a
d,e,n,h,a,&,d,e,n,h,t,#,t,i,c,h,a,d,e,n,h,t,$,V,PL,1,FUT	t,i,c,h,a,d,e,n,h,a
d,o,n,h,k,&,o,z,b,h,k,#,o,z,b,h,k,$,COPY	d,o,n,h,k
d,o,n,h,k,&,d,o,n,b,k,#,m,a,k,a,d,o,n,b,k,$,V,PL,2,PST	m,a,k,a,d,o,n,h,k
d,i,n,h,p,&,d,i,k,h,p,#,d,i,k,h,p,$,COPY	d,i,n,h,p
d,i,n,h,p,&,d,y,a,h,p,#,m,u,r,i,k,u,d,y,a,h,p,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,i,n,h,p
d,o,n,h,u,&,d,c,m,h,v,#,d,c,m,h,v,$,COPY	d,o,n,h,u
d,o,n,h,u,&,d,g,y,r,f,#,t,i,n,o,d,g,y,r,f,$,V,PL,1,PRS	t,i,n,o,d,o,n,h,u
z,o,v,h,a,&,z,o,z,h,a,#,z,o,z,h,a,$,COPY	z,o,v,h,a
z,o,v,h,a,&,z,i,v,h,a,#,a,c,h,a,z,i,v,h,a,$,V,SG,3,FUT	a,c,h,a,z,o,v,h,a
d,g,n,h,a,&,e,g,b,p,a,#,e,g,b,p,a,$,COPY	d,g,n,h,a
d,g,n,h,a,&,z,f,v,h,c,#,u,n,o,z,f,v,h,c,$,V,SG,2,PRS	u,n,o,d,g,n,h,a
w,o,n,h,a,&,w,o,u,b,d,#,n,d,a,k,a,w,o,u,b,d,$,V,SG,1,PST	n,d,a,k,a,w,o,n,h,a
d,o,w,h,t,&,e,o,w,h,t,#,e,o,w,h,t,$,COPY	d,o,w,h,t
d,o,w,h,t,&,o,o,w,h,o,#,v,a,r,i,k,u,o,o,w,h,o,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,o,w,h,t
d,m,n,h,a,&,d,t,m,h,a,#,d,t,m,h,a,$,COPY	d,m,n,h,a
d,m,n,h,a,&,d,m,n,h,u,#,m,a,d,m,n,h,u,$,V,PL,2,HOD	m,a,d,m,n,h,a
h,h,y,o,a,&,h,k,d,o,a,#,h,k,d,o,a,$,COPY	h,h,y,o,a
h,h,y,o,a,&,h,h,h,o,a,#,w,a,h,h,h,o,a,$,V,SG,2,HOD	w,a,h,h,y,o,a
y,o,n,h,f,&,y,f,n,h,f,#,y,f,n,h,f,$,COPY	y,o,n,h,f
y,o,n,h,f,&,y,o,n,h,m,#,n,d,i,c,h,a,y,o,n,h,m,$,V,SG,1,FUT	n,d,i,c,h,a,y,o,n,h,f
d,a,a,u,a,&,d,u,h,u,a,#,d,u,h,u,a,$,COPY	d,a,a,u,a
d,a,a,u,a,&,d,s,a,u,a,#,u,r,i,k,u,d,s,a,u,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,a,a,u,a
a,o,u,h,n,&,a,o,u,n,n,#,a,o,u,n,n,$,COPY	a,o,u,h,n
a,o,u,h,n,&,a,b,u,y,n,#,a,r,i,k,u,a,b,u,y,n,$,V,PROG,SG,3,PRS	a,r,i,k,u,a,o,u,h,n
d,o,n,f,z,&,d,o,v,o,v,#,d,o,v,o,v,$,COPY	d,o,n,f,z
d,o,n,f,z,&,y,o,n,f,z,#,a,y,o,n,f,z,$,V,SG,3,HOD	a,d,o,n,f,z
t,o,o,h,a,&,t,o,o,h,k,#,t,o,o,h,k,$,COPY	t,o,o,h,a
t,o,o,h,a,&,a,o,o,h,a,#,a,k,a,a,o,o,h,a,$,V,SG,3,PST	a,k,a,t,o,o,h,a
v,y,n,h,a,&,p,y,n,h,a,#,p,y,n,h,a,$,COPY	v,y,n,h,a
v,y,n,h,a,&,c,y,r,h,u,#,w,a,k,a,c,y,r,h,u,$,V,SG,2,PST	w,a,k,a,v,y,n,h,a
u,o,f,h,t,&,a,o,f,h,t,#,a,o,f,h,t,$,COPY	u,o,f,h,t
u,o,f,h,t,&,u,t,f,h,t,#,v,a,c,h,a,u,t,f,h,t,$,V,PL,3,FUT	v,a,c,h,a,u,o,f,h,t
i,o,n,h,a,&,u,o,n,h,n,#,u,o,n,h,n,$,COPY	i,o,n,h,a
i,o,n,h,a,&,p,b,n,h,a,#,u,c,h,a,p,b,n,h,a,$,V,SG,2,FUT	u,c,h,a,i,o,n,h,a
y,o,z,b,k,&,y,z,z,u,v,#,y,z,z,u,v,$,COPY	y,o,z,b,k
y,o,z,b,k,&,a,o,h,b,k,#,n,d,i,r,i,k,u,a,o,h,b,k,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,y,o,z,b,k
d,i,n,h,a,&,d,n,n,t,a,#,d,n,n,t,a,$,COPY	d,i,n,h,a
d,i,n,h,a,&,d,a,n,h,a,#,m,u,n,o,d,a,n,h,a,$,V,PL,2,PRS	m,u,n,o,d,i,n,h,a
d,o,n,y,a,&,d,o,n,a,a,#,d,o,n,a,a,$,COPY	d,o,n,y,a
d,o,n,y,a,&,d,e,n,s,a,#,t,i,r,i,k,u,d,e,n,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,o,n,y,a
u,r,a,y,p,&,u,r,a,e,p,#,u,r,a,e,p,$,COPY	u,r,a,y,p
u,r,a,y,p,&,u,r,a,t,p,#,n,d,a,u,r,a,t,p,$,V,SG,1,HOD	n,d,a,u,r,a,y,p
u,s,a,y,k,&,u,h,a,y,i,#,u,h,a,y,i,$,COPY	u,s,a,y,k
u,s,a,y,k,&,u,s,a,c,k,#,u,n,o,u,s,a,c,k,$,V,SG,2,PRS	u,n,o,u,s,a,y,k
u,r,g,c,n,&,w,r,m,c,o,#,w,r,m,c,o,$,COPY	u,r,g,c,n
u,r,g,c,n,&,o,r,g,c,n,#,v,a,c,h,a,o,r,g,c,n,$,V,PL,3,FUT	v,a,c,h,a,u,r,g,c,n
u,r,a,n,a,&,u,r,y,n,a,#,t,i,c,h,a,u,r,y,n,a,$,V,PL,1,FUT	t,i,c,h,a,u,r,a,n,a
p,r,a,y,a,&,p,r,o,y,a,#,p,r,o,y,a,$,COPY	p,r,a,y,a
p,r,a,y,a,&,p,r,t,t,a,#,t,a,p,r,t,t,a,$,V,PL,1,HOD	t,a,p,r,a,y,a
u,r,a,s,t,&,u,r,a,s,f,#,u,r,a,s,f,$,COPY	u,r,a,s,t
u,r,a,s,t,&,e,n,i,s,t,#,v,a,r,i,k,u,e,n,i,s,t,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,u,r,a,s,t
y,c,s,k,a,&,y,c,s,k,p,#,y,c,s,k,p,$,COPY	y,c,s,k,a
y,c,s,k,a,&,y,c,s,k,h,#,m,u,c,h,a,y,c,s,k,h,$,V,PL,2,FUT	m,u,c,h,a,y,c,s,k,a
u,r,a,y,a,&,u,r,a,y,w,#,n,d,i,c,h,a,u,r,a,y,w,$,V,SG,1,FUT	n,d,i,c,h,a,u,r,a,y,a
z,r,a,y,a,&,i,r,a,y,a,#,i,r,a,y,a,$,COPY	z,r,a,y,a
z,r,a,y,a,&,t,r,a,y,a,#,t,i,r,i,k,u,t,r,a,y,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,z,r,a,y,a
u,a,a,h,a,&,h,a,v,h,a,#,h,a,v,h,a,$,COPY	u,a,a,h,a
u,a,a,h,a,&,u,o,a,h,a,#,u,r,i,k,u,u,o,a,h,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,u,a,a,h,a
u,w,r,y,z,&,u,z,r,y,z,#,u,z,r,y,z,$,COPY	u,w,r,y,z
u,w,r,y,z,&,z,w,r,y,z,#,a,z,w,r,y,z,$,V,SG,3,HOD	a,u,w,r,y,z
h,r,a,p,n,&,h,r,a,b,n,#,h,r,a,b,n,$,COPY	h,r,a,p,n
h,r,a,p,n,&,a,r,z,p,n,#,a,k,a,a,r,z,p,n,$,V,SG,3,PST	a,k,a,h,r,a,p,n
e,r,a,h,n,&,e,r,a,u,n,#,e,r,a,u,n,$,COPY	e,r,a,h,n
e,r,a,h,n,&,e,r,a,h,f,#,a,c,h,a,e,r,a,h,f,$,V,SG,3,FUT	a,c,h,a,e,r,a,h,n
r,s,a,u,a,&,r,s,a,u,g,#,r,s,a,u,g,$,COPY	r,s,a,u,a
r,s,a,u,a,&,r,s,v,u,i,#,m,u,n,o,r,s,v,u,i,$,V,PL,2,PRS	m,u,n,o,r,s,a,u,a
u,r,a,y,a,&,u,r,a,y,z,#,n,d,a,k,a,u,r,a,y,z,$,V,SG,1,PST	n,d,a,k,a,u,r,a,y,a
z,r,a,z,z,&,w,w,n,z,e,#,w,w,n,z,e,$,COPY	z,r,a,z,z
z,r,a,z,z,&,n,r,a,n,z,#,m,a,k,a,n,r,a,n,z,$,V,PL,2,PST	m,a,k,a,z,r,a,z,z
u,r,a,w,a,&,v,r,a,w,a,#,v,r,a,w,a,$,COPY	u,r,a,w,a
u,r,a,w,a,&,u,z,a,w,a,#,m,u,r,i,k,u,u,z,a,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,u,r,a,w,a
u,r,a,d,w,&,u,r,a,d,u,#,u,r,a,d,u,$,COPY	u,r,a,d,w
u,r,a,d,w,&,u,v,u,o,u,#,w,a,k,a,u,v,u,o,u,$,V,SG,2,PST	w,a,k,a,u,r,a,d,w
t,e,a,c,t,&,t,g,e,c,t,#,t,g,e,c,t,$,COPY	t,e,a,c,t
t,e,a,c,t,&,u,e,a,c,t,#,w,a,u,e,a,c,t,$,V,SG,2,HOD	w,a,t,e,a,c,t
u,r,a,y,v,&,u,r,a,k,v,#,u,r,a,k,v,$,COPY	u,r,a,y,v
u,r,a,y,v,&,u,r,a,o,v,#,u,c,h,a,u,r,a,o,v,$,V,SG,2,FUT	u,c,h,a,u,r,a,y,v
u,r,e,y,z,&,u,f,e,b,z,#,u,f,e,b,z,$,COPY	u,r,e,y,z
