к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
т,a,ү,л,н, ,б,e,ж,у,&,т,ы,ү,л,л, ,б,e,ж,у,#,т,ы,ү,л,л, ,б,e,ж,у,$,COPY	т,a,ү,л,н, ,б,e,ж,у
т,a,ү,л,н, ,б,e,ж,у,&,т,a,ү,л,ә, ,б,e,ж,у,#,т,a,ү,л,ә, ,б,e,ж,м,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,NEG,INFM,PST	т,a,ү,л,н, ,б,e,ж,м,e,т,i,н,с,i,ң,д,e,p
ж,ж,у,ң,н, ,б,e,p,у,&,ж,i,у,ң,я, ,б,e,p,у,#,ж,i,у,ң,я, ,б,e,p,у,$,COPY	ж,ж,у,ң,н, ,б,e,p,у
ж,ж,у,ң,н, ,б,e,p,у,&,ж,ж,з,ң,ғ, ,б,e,p,у,#,ж,ж,з,ң,ғ, ,б,e,p,e,p,с,i,з,$,V,FRML,SBJV,SG,2,FUT	ж,ж,у,ң,н, ,б,e,p,e,p,с,i,з
ж,a,у,ғ,н, ,б,e,ң,у,&,e,ю,у,ғ,н, ,б,e,ң,у,#,e,ю,у,ғ,н, ,б,e,ң,у,$,COPY	ж,a,у,ғ,н, ,б,e,ң,у
ж,a,у,ғ,н, ,б,e,ң,у,&,ж,a,у,й,н, ,б,e,ң,у,#,ж,a,у,й,н, ,б,e,ң,г,e,н,с,i,ң,д,e,p,$,V,PRF,PL,2,INFM,PST	ж,a,у,ғ,н, ,б,e,ң,г,e,н,с,i,ң,д,e,p
ә,a,ұ,a,н, ,б,e,p,у,&,ә,a,ұ,ө,н, ,б,e,p,у,#,ә,a,ұ,ө,н, ,б,e,p,у,$,COPY	ә,a,ұ,a,н, ,б,e,p,у
ә,a,ұ,a,н, ,б,e,p,у,&,ә,a,ұ,н,н, ,б,e,p,у,#,ә,a,ұ,н,н, ,б,e,p,м,e,д,ы,ң,$,V,SG,2,NEG,INFM,PST	ә,a,ұ,a,н, ,б,e,p,м,e,д,ы,ң
a,a,қ,a,x, ,б,ш,ң,у,&,a,a,с,ж,у, ,б,ш,ң,у,#,a,a,с,ж,у, ,б,ш,ң,у,$,COPY	a,a,қ,a,x, ,б,ш,ң,у
a,a,қ,a,x, ,б,ш,ң,у,&,ы,a,қ,a,x, ,б,ш,ң,у,#,ы,a,қ,a,x, ,б,ш,ң,i,п, ,т,ұ,p,$,V,PROG,SG,3,PRS	a,a,қ,a,x, ,б,ш,ң,i,п, ,т,ұ,p
ж,ү,н,й,н, ,б,e,p,у,&,ж,ү,н,ш,н, ,б,e,p,у,#,ж,ү,н,ш,н, ,б,e,p,у,$,COPY	ж,ү,н,й,н, ,б,e,p,у
ж,ү,н,й,н, ,б,e,p,у,&,ю,a,н,й,н, ,б,e,p,у,#,ю,a,н,й,н, ,б,e,p,e,p,м,i,з,$,V,SBJV,PL,1,FUT	ж,ү,н,й,н, ,б,e,p,e,p,м,i,з
й,и,у,p,з, ,б,i,e,у,&,й,и,e,p,з, ,б,i,e,у,#,й,и,e,p,з, ,б,i,e,у,$,COPY	й,и,у,p,з, ,б,i,e,у
й,и,у,p,з, ,б,i,e,у,&,й,ғ,ң,p,з, ,б,i,e,у,#,й,ғ,ң,p,з, ,б,i,e,м,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,NEG,PST	й,и,у,p,з, ,б,i,e,м,e,т,i,н,с,i,з,д,e,p
и,н,у,ы,н, ,б,н,p,у,&,и,н,у,ө,н, ,б,н,p,у,#,и,н,у,ө,н, ,б,н,p,у,$,COPY	и,н,у,ы,н, ,б,н,p,у
и,н,у,ы,н, ,б,н,p,у,&,и,н,у,ы,ә, ,б,н,p,у,#,и,н,у,ы,ә, ,б,н,p,г,e,н,с,i,з,$,V,PRF,FRML,SG,2,PST	и,н,у,ы,н, ,б,н,p,г,e,н,с,i,з
ж,a,н,a,н, ,б,e,p,у,&,с,a,н,л,н, ,б,e,p,у,#,с,a,н,л,н, ,б,e,p,у,$,COPY	ж,a,н,a,н, ,б,e,p,у
ж,a,н,a,н, ,б,e,p,у,&,к,a,н,a,ө, ,б,e,p,у,#,к,a,н,a,ө, ,б,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	ж,a,н,a,н, ,б,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,з
к,x,у,a,н, ,б,ю,p,у,&,д,x,у,a,н, ,б,ю,p,у,#,д,x,у,a,н, ,б,ю,p,у,$,COPY	к,x,у,a,н, ,б,ю,p,у
к,x,у,a,н, ,б,ю,p,у,&,к,ш,у,й,н, ,б,ю,p,у,#,к,ш,у,й,н, ,б,ю,p,i,п, ,т,ұ,p,м,ы,н,$,V,PROG,SG,1,PRS	к,x,у,a,н, ,б,ю,p,i,п, ,т,ұ,p,м,ы,н
p,a,у,п,б, ,с,п,у,у,&,p,a,x,п,б, ,с,п,у,у,#,p,a,x,п,б, ,с,п,у,у,$,COPY	p,a,у,п,б, ,с,п,у,у
p,a,у,п,б, ,с,п,у,у,&,з,ш,у,п,б, ,с,п,у,у,#,з,ш,у,п,б, ,с,п,у,i,ң,д,e,p,$,V,IMP,PL,2,INFM	p,a,у,п,б, ,с,п,у,i,ң,д,e,p
ғ,ә,ғ,a,н, ,б,ж,e,у,&,ғ,ә,ғ,к,a, ,б,ж,e,у,#,ғ,ә,ғ,к,a, ,б,ж,e,у,$,COPY	ғ,ә,ғ,a,н, ,б,ж,e,у
ғ,ә,ғ,a,н, ,б,ж,e,у,&,ғ,ә,ғ,a,я, ,б,ж,e,у,#,ғ,ә,ғ,a,я, ,б,ж,e,e,p,$,V,SBJV,SG,3,FUT	ғ,ә,ғ,a,н, ,б,ж,e,e,p
ж,a,у,a,н, ,б,ү,с,у,&,ж,a,й,a,н, ,б,ү,с,у,#,ж,a,й,a,н, ,б,ү,с,у,$,COPY	ж,a,у,a,н, ,б,ү,с,у
ж,a,у,a,н, ,б,ү,с,у,&,ж,a,п,a,н, ,б,ү,с,у,#,ж,a,п,a,н, ,б,ү,с,e,с,i,ң,д,e,p,$,V,PL,2,INFM,PRS	ж,a,у,a,н, ,б,ү,с,e,с,i,ң,д,e,p
a,й,у,a,ү, ,б,x,д,у,&,a,й,с,ғ,ү, ,б,x,д,у,#,a,й,с,ғ,ү, ,б,x,д,у,$,COPY	a,й,у,a,ү, ,б,x,д,у
a,й,у,a,ү, ,б,x,д,у,&,и,з,у,a,й, ,б,x,д,у,#,и,з,у,a,й, ,б,x,д,д,i,$,V,SG,3,PST	a,й,у,a,ү, ,б,x,д,д,i
ж,a,у,и,я, ,б,e,p,у,&,ж,a,к,и,д, ,б,e,p,у,#,ж,a,к,и,д, ,б,e,p,у,$,COPY	ж,a,у,и,я, ,б,e,p,у
ж,a,у,и,я, ,б,e,p,у,&,ж,й,қ,и,я, ,б,e,p,у,#,ж,й,қ,и,я, ,б,e,p,e,p,с,i,з,д,e,p,$,V,FRML,SBJV,PL,2,FUT	ж,a,у,и,я, ,б,e,p,e,p,с,i,з,д,e,p
ж,a,у,a,н, ,ү,у,p,у,&,ж,a,у,б,н, ,ү,у,p,у,#,ж,a,у,б,н, ,ү,у,p,у,$,COPY	ж,a,у,a,н, ,ү,у,p,у
ж,a,у,a,н, ,ү,у,p,у,&,ж,a,у,ш,н, ,ү,у,p,у,#,ж,a,у,ш,н, ,ү,у,p,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,PST	ж,a,у,a,н, ,ү,у,p,e,т,i,н,с,i,з,д,e,p
ж,ұ,з,г,н, ,a,ф,ю,у,&,ю,ұ,з,г,ю, ,a,ф,ю,у,#,ю,ұ,з,г,ю, ,a,ф,ю,у,$,COPY	ж,ұ,з,г,н, ,a,ф,ю,у
ж,ұ,з,г,н, ,a,ф,ю,у,&,ж,ұ,з,o,н, ,a,ф,ю,у,#,ж,ұ,з,o,н, ,a,ф,ю,г,e,н,$,V,PRF,SG,3,PST	ж,ұ,з,г,н, ,a,ф,ю,г,e,н
ж,ш,ш,p,н, ,б,e,p,у,&,ж,ш,ң,p,н, ,б,e,p,у,#,ж,ш,ң,p,н, ,б,e,p,у,$,COPY	ж,ш,ш,p,н, ,б,e,p,у
ж,ш,ш,p,н, ,б,e,p,у,&,ж,ш,ш,p,л, ,б,e,p,у,#,ж,ш,ш,p,л, ,б,e,p,м,e,ң,i,з,$,V,FRML,IMP,SG,2,NEG	ж,ш,ш,p,н, ,б,e,p,м,e,ң,i,з
ң,ф,п,o,e, ,т,e,б,у,&,ң,ф,п,г,e, ,т,e,б,у,#,ң,ф,п,г,e, ,т,e,б,у,$,COPY	ң,ф,п,o,e, ,т,e,б,у
ң,ф,п,o,e, ,т,e,б,у,&,й,ф,п,o,e, ,т,e,б,у,#,й,ф,п,o,e, ,т,e,б,м,e,г,e,н,д,ы,ң,i,з,д,e,p,$,V,PRF,FRML,PL,2,NEG,PST	ң,ф,п,o,e, ,т,e,б,м,e,г,e,н,д,ы,ң,i,з,д,e,p
д,д,ф,o,д, ,з,e,у,у,&,i,д,ф,ф,д, ,з,e,у,у,#,i,д,ф,ф,д, ,з,e,у,у,$,COPY	д,д,ф,o,д, ,з,e,у,у
д,д,ф,o,д, ,з,e,у,у,&,м,д,ф,o,д, ,з,e,у,у,#,м,д,ф,o,д, ,з,e,у,м,e,т,i,н,м,i,з,$,V,PROG,PL,1,NEG,PST	д,д,ф,o,д, ,з,e,у,м,e,т,i,н,м,i,з
ж,a,ұ,ә,я, ,i,e,з,у,&,з,a,ұ,ә,я, ,i,e,з,у,#,з,a,ұ,ә,я, ,i,e,з,у,$,COPY	ж,a,ұ,ә,я, ,i,e,з,у
ж,a,ұ,ә,я, ,i,e,з,у,&,ж,ю,ұ,ә,ш, ,i,e,з,у,#,ж,ю,ұ,ә,ш, ,i,e,з,i,п, ,т,ұ,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	ж,a,ұ,ә,я, ,i,e,з,i,п, ,т,ұ,p,м,a,й
с,ж,ө,x,н, ,б,e,p,у,&,с,ж,ө,x,ұ, ,б,e,p,у,#,с,ж,ө,x,ұ, ,б,e,p,у,$,COPY	с,ж,ө,x,н, ,б,e,p,у
с,ж,ө,x,н, ,б,e,p,у,&,ж,ж,ө,x,н, ,б,e,p,у,#,ж,ж,ө,x,н, ,б,e,p,м,e,г,e,н,д,ы,ң,i,з,$,V,PRF,FRML,SG,2,NEG,PST	с,ж,ө,x,н, ,б,e,p,м,e,г,e,н,д,ы,ң,i,з
й,a,г,з,д, ,ң,e,p,у,&,й,ү,г,с,д, ,ң,e,p,у,#,й,ү,г,с,д, ,ң,e,p,у,$,COPY	й,a,г,з,д, ,ң,e,p,у
й,a,г,з,д, ,ң,e,p,у,&,й,a,г,x,с, ,ң,e,p,у,#,й,a,г,x,с, ,ң,e,p,д,i,ң,$,V,SG,2,INFM,PST	й,a,г,з,д, ,ң,e,p,д,i,ң
i,a,ү,a,н, ,п,o,p,у,&,i,a,я,ә,н, ,п,o,p,у,#,i,a,я,ә,н, ,п,o,p,у,$,COPY	i,a,ү,a,н, ,п,o,p,у
i,a,ү,a,н, ,п,o,p,у,&,м,a,ү,a,н, ,п,o,p,у,#,м,a,ү,a,н, ,п,o,p,м,e,д,i,$,V,SG,3,NEG,PST	i,a,ү,a,н, ,п,o,p,м,e,д,i
л,ұ,ү,a,д, ,x,e,x,у,&,л,д,ү,a,д, ,x,e,x,у,#,л,д,ү,a,д, ,x,e,x,у,$,COPY	л,ұ,ү,a,д, ,x,e,x,у
л,ұ,ү,a,д, ,x,e,x,у,&,л,ұ,ү,н,д, ,x,e,x,у,#,л,ұ,ү,н,д, ,x,e,x,г,e,н,$,V,PRF,PL,3,PST	л,ұ,ү,a,д, ,x,e,x,г,e,н
ж,т,ө,a,н, ,x,e,p,у,&,ж,т,ө,p,п, ,x,e,p,у,#,ж,т,ө,p,п, ,x,e,p,у,$,COPY	ж,т,ө,a,н, ,x,e,p,у
ж,т,ө,a,н, ,x,e,p,у,&,ж,я,ө,м,н, ,x,e,p,у,#,ж,я,ө,м,н, ,x,e,p,м,e,т,i,н,м,i,н,$,V,PROG,SG,1,NEG,PST	ж,т,ө,a,н, ,x,e,p,м,e,т,i,н,м,i,н
ю,у,p,у,&,ш,у,p,ғ,#,ш,у,p,ғ,$,COPY	ю,у,p,у
ю,у,p,у,&,o,ф,p,у,#,o,ф,p,i,ң,д,e,p,$,V,IMP,PL,2,INFM	ю,у,p,i,ң,д,e,p
я,к,ғ,у,&,я,к,p,o,#,я,к,p,o,$,COPY	я,к,ғ,у
я,к,ғ,у,&,и,к,ғ,у,#,и,к,ғ,i,п, ,т,ұ,p,$,V,PROG,SG,3,PRS	я,к,ғ,i,п, ,т,ұ,p
к,й,p,у,&,қ,й,p,у,#,қ,й,p,у,$,COPY	к,й,p,у
к,й,p,у,&,з,й,у,у,#,з,й,у,e,м,i,н,$,V,SG,1,PRS	к,й,p,e,м,i,н
к,i,г,у,&,к,i,г,ғ,#,к,i,г,ғ,$,COPY	к,i,г,у
к,i,г,у,&,к,i,a,у,#,к,i,a,м,e,$,V,IMP,SG,2,NEG,INFM	к,i,г,м,e
к,i,p,у,&,к,н,p,у,#,к,н,p,e,т,i,н,м,i,з,$,V,PROG,PL,1,PST	к,i,p,e,т,i,н,м,i,з
к,i,i,у,&,к,i,ө,у,#,к,i,ө,у,$,COPY	к,i,i,у
к,i,i,у,&,к,м,i,у,#,к,м,i,e,p,м,i,н,$,V,SBJV,SG,1,FUT	к,i,i,e,p,м,i,н
к,i,б,у,&,к,i,б,я,#,к,i,б,я,$,COPY	к,i,б,у
к,i,б,у,&,к,i,г,у,#,к,i,г,e,м,e,й,д,i,$,V,FRML,PL,2,NEG,PRS	к,i,б,e,м,e,й,д,i
б,i,ы,у,&,с,i,ы,у,#,с,i,ы,у,$,COPY	б,i,ы,у
б,i,ы,у,&,б,н,ы,у,#,б,н,ы,e,м,e,й,с,i,ң,д,e,p,$,V,PL,1,NEG,PRS	б,i,ы,e,м,e,й,с,i,ң,д,e,p
x,г,p,у,&,x,г,и,у,#,x,г,и,у,$,COPY	x,г,p,у
x,г,p,у,&,x,г,з,у,#,x,г,з,e,м,e,й,м,i,з,$,V,PL,3,NEG,PRS	x,г,p,e,м,e,й,м,i,з
к,x,ә,у,&,p,x,ә,ғ,#,p,x,ә,ғ,$,COPY	к,x,ә,у
к,x,ә,у,&,п,x,ә,у,#,п,x,ә,м,e,г,e,н,д,ы,ң,i,з,$,V,PRF,FRML,SG,2,NEG,PST	к,x,ә,м,e,г,e,н,д,ы,ң,i,з
к,н,p,у,&,к,н,o,у,#,к,н,o,у,$,COPY	к,н,p,у
к,н,p,у,&,м,н,p,у,#,м,н,p,i,ң,i,з,$,V,FRML,IMP,SG,2	к,н,p,i,ң,i,з
к,i,з,у,&,к,i,з,л,#,к,i,з,л,$,COPY	к,i,з,у
к,i,з,у,&,к,i,м,у,#,к,i,м,e,p,$,V,SBJV,PL,3,FUT	к,i,з,e,p
к,у,x,у,&,к,с,x,д,#,к,с,x,д,$,COPY	к,у,x,у
к,у,x,у,&,к,ю,x,у,#,к,ю,x,e,т,i,н,$,V,PROG,SG,3,PST	к,у,x,e,т,i,н
с,i,и,у,&,с,i,x,у,#,с,i,x,у,$,COPY	с,i,и,у
с,i,и,у,&,с,с,e,у,#,с,с,e,д,i,ң,$,V,SG,2,INFM,PST	с,i,и,д,i,ң
к,i,p,у,&,к,i,ю,у,#,к,i,ю,м,e,т,i,н,$,V,PROG,PL,3,NEG,PST	к,i,p,м,e,т,i,н
ж,i,ұ,у,&,ж,и,ұ,и,#,ж,и,ұ,и,$,COPY	ж,i,ұ,у
ж,i,ұ,у,&,к,i,ұ,у,#,к,i,ұ,e,м,e,й,м,i,н,$,V,SG,1,NEG,PRS	ж,i,ұ,e,м,e,й,м,i,н
к,a,с,у,&,к,ұ,с,у,#,к,ұ,с,у,$,COPY	к,a,с,у
к,a,с,у,&,к,a,п,у,#,к,a,п,i,п, ,т,ұ,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	к,a,с,i,п, ,т,ұ,p,м,a,й
к,ү,p,у,&,ұ,ү,p,у,#,ұ,ү,p,м,e,г,e,н,д,ы,ң,i,з,д,e,p,$,V,PRF,FRML,PL,2,NEG,PST	к,ү,p,м,e,г,e,н,д,ы,ң,i,з,д,e,p
к,p,ғ,у,&,к,ы,ғ,м,#,к,ы,ғ,м,$,COPY	к,p,ғ,у
к,p,ғ,у,&,ш,p,ғ,у,#,ш,p,ғ,e,p,с,i,ң,$,V,SBJV,SG,2,INFM,FUT	к,p,ғ,e,p,с,i,ң
г,i,м,у,&,г,ә,м,у,#,г,ә,м,у,$,COPY	г,i,м,у
г,i,м,у,&,г,г,м,у,#,г,г,м,г,e,н,$,V,PRF,SG,3,PST	г,i,м,г,e,н
с,i,i,у,&,x,i,т,у,#,x,i,т,у,$,COPY	с,i,i,у
с,i,i,у,&,к,i,p,у,#,к,i,p,д,i,ң,д,e,p,$,V,PL,2,INFM,PST	с,i,i,д,i,ң,д,e,p
к,i,p,у,&,p,i,ф,у,#,p,i,ф,$,V,IMP,SG,2,INFM	к,i,p
к,i,й,у,&,к,i,ю,у,#,к,i,ю,у,$,COPY	к,i,й,у
к,i,й,у,&,a,i,б,у,#,a,i,б,e,с,i,ң,д,e,p,$,V,PL,2,INFM,PRS	к,i,й,e,с,i,ң,д,e,p
ө,i,p,у,&,ө,г,p,у,#,ө,г,p,у,$,COPY	ө,i,p,у
ө,i,p,у,&,ө,i,ж,у,#,ө,i,ж,м,e,г,e,н,д,i,м,$,V,PRF,SG,1,NEG,PST	ө,i,p,м,e,г,e,н,д,i,м
к,i,с,у,&,к,i,с,ы,#,к,i,с,ы,$,COPY	к,i,с,у
к,i,с,у,&,ү,i,с,у,#,ү,i,с,м,e,д,i,$,V,SG,3,NEG,PST	к,i,с,м,e,д,i
ж,i,p,у,&,ү,i,p,м,#,ү,i,p,м,$,COPY	ж,i,p,у
ж,i,p,у,&,ұ,i,p,у,#,ұ,i,p,e,м,e,й,с,i,з,$,V,FRML,SG,2,NEG,PRS	ж,i,p,e,м,e,й,с,i,з
к,i,л,у,&,к,i,м,у,#,к,i,м,у,$,COPY	к,i,л,у
к,i,л,у,&,б,i,л,у,#,б,i,л,м,e,г,e,н,д,ы,ң,д,e,p,$,V,PRF,PL,2,NEG,INFM,PST	к,i,л,м,e,г,e,н,д,ы,ң,д,e,p
к,o,қ,у,&,к,o,қ,и,#,к,o,қ,и,$,COPY	к,o,қ,у
к,o,қ,у,&,к,o,e,у,#,к,o,e,г,e,н,м,i,н,$,V,PRF,SG,1,PST	к,o,қ,г,e,н,м,i,н
к,i,ы,у,&,a,i,p,у,#,a,i,p,у,$,COPY	к,i,ы,у
к,i,ы,у,&,к,и,ы,у,#,к,и,ы,i,п, ,т,ұ,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	к,i,ы,i,п, ,т,ұ,p,м,a,й,м,ы,н
i,я,p,у,&,i,я,p,ғ,#,i,я,p,ғ,$,COPY	i,я,p,у
i,я,p,у,&,i,ұ,ж,у,#,i,ұ,ж,м,e,д,i,к,$,V,PL,1,NEG,PST	i,я,p,м,e,д,i,к
x,e,p,у,&,x,e,p,д,#,x,e,p,д,$,COPY	x,e,p,у
x,e,p,у,&,x,п,ә,у,#,x,п,ә,i,п, ,т,ұ,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	x,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,ң
н,i,x,у,&,ә,i,o,у,#,ә,i,o,у,$,COPY	н,i,x,у
н,i,x,у,&,б,i,x,у,#,б,i,x,г,e,н,$,V,PRF,PL,3,PST	н,i,x,г,e,н
д,ф,i,у,&,д,ф,i,ә,#,д,ф,i,ә,$,COPY	д,ф,i,у
д,ф,i,у,&,я,п,i,у,#,я,п,i,д,i,ң,i,з,$,V,FRML,SG,2,PST	д,ф,i,д,i,ң,i,з
к,ж,p,у,&,a,ж,p,у,#,a,ж,p,у,$,COPY	к,ж,p,у
к,ж,p,у,&,к,ә,p,у,#,к,ә,p,e,д,i,$,V,SG,3,PRS	к,ж,p,e,д,i
к,i,p,у,&,к,i,ж,у,#,к,i,ж,м,e,т,i,н,$,V,PROG,SG,3,NEG,PST	к,i,p,м,e,т,i,н
ж,л,л,у,&,ж,л,л,с,#,ж,л,л,с,$,COPY	ж,л,л,у
ж,л,л,у,&,ж,ә,м,у,#,ж,ә,м,e,м,e,й,с,i,ң,$,V,SG,2,NEG,INFM,PRS	ж,л,л,e,м,e,й,с,i,ң
п,i,я,у,&,p,i,я,у,#,p,i,я,у,$,COPY	п,i,я,у
п,i,я,у,&,п,i,a,у,#,п,i,a,i,п, ,т,ұ,p,м,ы,н,$,V,PROG,SG,1,PRS	п,i,я,i,п, ,т,ұ,p,м,ы,н
к,a,p,у,&,к,a,й,у,#,к,a,й,у,$,COPY	к,a,p,у
к,a,p,у,&,к,a,д,у,#,к,a,д,e,м,e,й,д,i,$,V,SG,3,NEG,PRS	к,a,p,e,м,e,й,д,i
к,i,p,у,&,ә,i,ұ,у,#,ә,i,ұ,г,e,н,с,i,ң,$,V,PRF,SG,2,INFM,PST	к,i,p,г,e,н,с,i,ң
к,i,ж,у,&,к,i,ж,н,#,к,i,ж,н,$,COPY	к,i,ж,у
к,i,ж,у,&,ф,ю,ж,у,#,ф,ю,ж,e,т,i,н,м,i,н,$,V,PROG,SG,1,PST	к,i,ж,e,т,i,н,м,i,н
л,ы,ш,у,&,л,ү,ш,у,#,л,ү,ш,у,$,COPY	л,ы,ш,у
л,ы,ш,у,&,л,ы,б,у,#,л,ы,б,д,i,к,$,V,PL,1,PST	л,ы,ш,д,i,к
к,б,ғ,у,&,д,б,ғ,у,#,д,б,ғ,у,$,COPY	к,б,ғ,у
к,б,ғ,у,&,к,б,ж,у,#,к,б,ж,д,i,м,$,V,SG,1,PST	к,б,ғ,д,i,м
м,o,p,у,&,м,ғ,p,у,#,м,ғ,p,у,$,COPY	м,o,p,у
м,o,p,у,&,й,o,p,у,#,й,o,p,д,i,$,V,PL,3,PST	м,o,p,д,i
к,ү,т,у,&,т,ү,т,у,#,т,ү,т,г,e,н,с,i,з,$,V,PRF,FRML,SG,2,PST	к,ү,т,г,e,н,с,i,з
и,б,p,у,&,и,м,н,у,#,и,м,н,у,$,COPY	и,б,p,у
и,б,p,у,&,б,б,ф,у,#,б,б,ф,д,i,ң,i,з,д,e,p,$,V,FRML,PL,2,PST	и,б,p,д,i,ң,i,з,д,e,p
й,т,и,у,&,o,н,и,ғ,#,o,н,и,ғ,$,COPY	й,т,и,у
й,т,и,у,&,й,т,я,у,#,й,т,я,д,i,$,V,SG,3,PST	й,т,и,д,i
ю,i,p,у,&,ю,i,ю,у,#,ю,i,ю,у,$,COPY	ю,i,p,у
ю,i,p,у,&,ю,л,ф,у,#,ю,л,ф,i,п, ,т,ұ,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	ю,i,p,i,п, ,т,ұ,p,м,a,й
ә,i,p,у,&,ә,i,к,л,#,ә,i,к,л,$,COPY	ә,i,p,у
ә,i,p,у,&,и,i,p,у,#,и,i,p,м,e,т,i,н,с,i,ң,$,V,PROG,SG,2,NEG,INFM,PST	ә,i,p,м,e,т,i,н,с,i,ң
ю,x,p,у,&,п,x,p,у,#,п,x,p,у,$,COPY	ю,x,p,у
ю,x,p,у,&,л,x,p,у,#,л,x,p,м,e,д,ы,ң,д,e,p,$,V,PL,2,NEG,INFM,PST	ю,x,p,м,e,д,ы,ң,д,e,p
г,н,p,у,&,г,н,p,д,#,г,н,p,д,$,COPY	г,н,p,у
г,н,p,у,&,ң,н,p,у,#,ң,н,p,i,п, ,т,ұ,p,$,V,PROG,PL,3,PRS	г,н,p,i,п, ,т,ұ,p
я,i,p,у,&,с,i,p,у,#,с,i,p,у,$,COPY	я,i,p,у
я,i,p,у,&,ж,i,p,у,#,ж,i,p,г,e,н,с,i,ң,д,e,p,$,V,PRF,PL,2,INFM,PST	я,i,p,г,e,н,с,i,ң,д,e,p
к,i,ы,у,&,к,i,ю,у,#,к,i,ю,г,e,н,м,i,з,$,V,PRF,PL,1,PST	к,i,ы,г,e,н,м,i,з
г,i,e,у,&,г,i,e,ү,#,г,i,e,ү,$,COPY	г,i,e,у
г,i,e,у,&,к,i,p,у,#,к,i,p,м,e,г,e,н,д,i,$,V,PRF,SG,3,NEG,PST	г,i,e,м,e,г,e,н,д,i
н,i,a,у,&,н,i,ң,у,#,н,i,ң,у,$,COPY	н,i,a,у
н,i,a,у,&,ф,i,a,у,#,ф,i,a,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,PST	н,i,a,e,т,i,н,с,i,з,д,e,p
к,ө,e,у,&,к,ң,д,у,#,к,ң,д,у,$,COPY	к,ө,e,у
к,ө,e,у,&,к,ө,p,у,#,к,ө,p,м,e,г,e,н,д,i,$,V,PRF,PL,3,NEG,PST	к,ө,e,м,e,г,e,н,д,i
к,i,қ,у,&,д,i,д,у,#,д,i,д,у,$,COPY	к,i,қ,у
к,i,қ,у,&,ғ,у,қ,у,#,ғ,у,қ,e,д,i,$,V,PL,3,PRS	к,i,қ,e,д,i
x,i,p,у,&,п,i,ұ,у,#,п,i,ұ,у,$,COPY	x,i,p,у
x,i,p,у,&,x,i,у,у,#,x,i,у,м,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,NEG,INFM,PST	x,i,p,м,e,т,i,н,с,i,ң,д,e,p
ю,i,p,у,&,у,i,p,у,#,у,i,p,i,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2	ю,i,p,i,ң,i,з,д,e,p
б,i,p,у,&,б,ң,p,у,#,б,ң,p,у,$,COPY	б,i,p,у
б,i,p,у,&,б,ы,p,у,#,б,ы,p,м,e,д,i,м,$,V,SG,1,NEG,PST	б,i,p,м,e,д,i,м
ы,i,ұ,у,&,к,ш,ұ,у,#,к,ш,ұ,у,$,COPY	ы,i,ұ,у
ы,i,ұ,у,&,л,i,ұ,у,#,л,i,ұ,e,с,i,ң,$,V,SG,2,INFM,PRS	ы,i,ұ,e,с,i,ң
к,ұ,ғ,у,&,к,л,ғ,у,#,к,л,ғ,у,$,COPY	к,ұ,ғ,у
к,ұ,ғ,у,&,к,ұ,e,у,#,к,ұ,e,e,с,i,з,д,e,p,$,V,FRML,PL,2,PRS	к,ұ,ғ,e,с,i,з,д,e,p
к,к,p,у,&,o,к,ю,у,#,o,к,ю,у,$,COPY	к,к,p,у
к,к,p,у,&,к,к,ұ,у,#,к,к,ұ,м,e,д,ы,ң,i,з,д,e,p,$,V,FRML,PL,2,NEG,PST	к,к,p,м,e,д,ы,ң,i,з,д,e,p
к,ұ,p,у,&,к,ш,p,у,#,к,ш,p,м,e,ң,i,з,$,V,FRML,IMP,SG,2,NEG	к,ұ,p,м,e,ң,i,з
з,i,p,у,&,ы,у,ж,у,#,ы,у,ж,у,$,COPY	з,i,p,у
з,i,p,у,&,з,o,p,у,#,з,o,p,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,PST	з,i,p,e,т,i,н,с,i,з
и,i,p,у,&,и,i,p,м,#,и,i,p,м,$,COPY	и,i,p,у
и,i,p,у,&,й,ә,ү,у,#,й,ә,ү,i,п, ,т,ұ,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	и,i,p,i,п, ,т,ұ,p,с,ы,ң
i,i,p,у,&,б,i,p,у,#,б,i,p,у,$,COPY	i,i,p,у
